human,gender,cause,date_of_birth,date_of_death,country,occupation,religion
Ray Manzarek,male,natural causes,1939-02-12T00:00:00Z,2013-05-20T00:00:00Z,United States of America,poet,Catholicism
Csilla von Boeselager,female,natural causes,1941-05-17T00:00:00Z,1994-02-23T00:00:00Z,Hungary,humanitarian,Catholicism
Ray Manzarek,male,natural causes,1939-02-12T00:00:00Z,2013-05-20T00:00:00Z,United States of America,record producer,Catholicism
Charles Mingus Jr.,male,natural causes,1922-04-22T00:00:00Z,1979-01-05T00:00:00Z,United States of America,conductor,Hinduism
Bernard Genoud,male,natural causes,1942-02-22T00:00:00Z,2010-09-21T00:00:00Z,Switzerland,theologian,Catholic Church
Bernard Genoud,male,natural causes,1942-02-22T00:00:00Z,2010-09-21T00:00:00Z,Switzerland,university teacher,Catholic Church
Bernard Genoud,male,natural causes,1942-02-22T00:00:00Z,2010-09-21T00:00:00Z,Switzerland,Catholic priest,Catholic Church
Colonel Sanders,male,natural causes,1890-09-09T00:00:00Z,1980-12-16T00:00:00Z,United States of America,cook,Christian Church (Disciples of Christ)
Theodore Bibliander,male,natural causes,1500-01-01T00:00:00Z,1564-09-26T00:00:00Z,Switzerland,writer,Calvinism
Theodore Bibliander,male,natural causes,1500-01-01T00:00:00Z,1564-09-26T00:00:00Z,Switzerland,linguist,Calvinism
Theodore Bibliander,male,natural causes,1500-01-01T00:00:00Z,1564-09-26T00:00:00Z,Switzerland,theologian,Calvinism
Prince Sadruddin Aga Khan,male,natural causes,1933-01-17T00:00:00Z,2003-05-12T00:00:00Z,France,politician,Islam
Gregory Peck,male,natural causes,1916-04-05T00:00:00Z,2003-06-12T00:00:00Z,United States of America,film producer,Catholicism
Alexander Haig,male,natural causes,1924-12-02T00:00:00Z,2010-02-20T00:00:00Z,United States of America,businessperson,Catholicism
Alexander Haig,male,natural causes,1924-12-02T00:00:00Z,2010-02-20T00:00:00Z,United States of America,politician,Catholicism
Gregory Peck,male,natural causes,1916-04-05T00:00:00Z,2003-06-12T00:00:00Z,United States of America,character actor,Catholicism
Theodore Bibliander,male,natural causes,1500-01-01T00:00:00Z,1564-09-26T00:00:00Z,Switzerland,translator,Calvinism
Prince Sadruddin Aga Khan,male,natural causes,1933-01-17T00:00:00Z,2003-05-12T00:00:00Z,Switzerland,politician,Islam
Gregory Peck,male,natural causes,1916-04-05T00:00:00Z,2003-06-12T00:00:00Z,United States of America,film actor,Catholicism
Anastasius Hartmann,male,natural causes,1803-02-14T00:00:00Z,1866-04-24T00:00:00Z,Switzerland,Catholic priest,Catholic Church
Alexander Haig,male,natural causes,1924-12-02T00:00:00Z,2010-02-20T00:00:00Z,United States of America,diplomat,Catholicism
Csilla von Boeselager,female,natural causes,1941-05-17T00:00:00Z,1994-02-23T00:00:00Z,Germany,humanitarian,Catholicism
Alexander Lernet-Holenia,male,natural causes,1897-10-21T00:00:00Z,1976-07-03T00:00:00Z,Austria,playwright,Catholicism
Alexander Lernet-Holenia,male,natural causes,1897-10-21T00:00:00Z,1976-07-03T00:00:00Z,Austria,writer,Catholicism
Alexander Lernet-Holenia,male,natural causes,1897-10-21T00:00:00Z,1976-07-03T00:00:00Z,Austria,poet,Catholicism
Alexander Lernet-Holenia,male,natural causes,1897-10-21T00:00:00Z,1976-07-03T00:00:00Z,Austria,screenwriter,Catholicism
Prince Sadruddin Aga Khan,male,natural causes,1933-01-17T00:00:00Z,2003-05-12T00:00:00Z,Switzerland,diplomat,Islam
Colonel Sanders,male,natural causes,1890-09-09T00:00:00Z,1980-12-16T00:00:00Z,United States of America,restaurateur,Christian Church (Disciples of Christ)
Gregory Peck,male,natural causes,1916-04-05T00:00:00Z,2003-06-12T00:00:00Z,United States of America,stage actor,Catholicism
Alexander Haig,male,natural causes,1924-12-02T00:00:00Z,2010-02-20T00:00:00Z,United States of America,military personnel,Catholicism
Alexander Haig,male,natural causes,1924-12-02T00:00:00Z,2010-02-20T00:00:00Z,United States of America,businessperson,Catholic Church
Alexander Haig,male,natural causes,1924-12-02T00:00:00Z,2010-02-20T00:00:00Z,United States of America,politician,Catholic Church
Eugenio Corecco,male,natural causes,1931-10-03T00:00:00Z,1995-03-01T00:00:00Z,Switzerland,university teacher,Catholic Church
Richard Mentor Johnson,male,natural causes,1780-10-17T00:00:00Z,1850-11-19T00:00:00Z,United States of America,lawyer,Baptist
Richard Mentor Johnson,male,natural causes,1780-10-17T00:00:00Z,1850-11-19T00:00:00Z,United States of America,politician,Baptist
Alexander Haig,male,natural causes,1924-12-02T00:00:00Z,2010-02-20T00:00:00Z,United States of America,diplomat,Catholic Church
Rajesh Khanna,male,natural causes,1942-12-29T00:00:00Z,2012-07-18T00:00:00Z,British Raj,producer,Hinduism
Eugenio Corecco,male,natural causes,1931-10-03T00:00:00Z,1995-03-01T00:00:00Z,Switzerland,Catholic priest,Catholic Church
Franz Jacob Heinrich Kreibich,male,natural causes,1759-07-26T00:00:00Z,1833-12-17T00:00:00Z,Germany,astronomer,Catholic Church
Anne of Great Britain,female,natural causes,1665-02-06T00:00:00Z,1714-08-01T00:00:00Z,Kingdom of Great Britain,politician,Anglicanism
Alexander Haig,male,natural causes,1924-12-02T00:00:00Z,2010-02-20T00:00:00Z,United States of America,military personnel,Catholic Church
Alexander III of Russia,male,natural causes,1845-03-10T00:00:00Z,1894-11-01T00:00:00Z,Russian Empire,aristocrat,Russian Orthodox Church
Elias Hrawi,male,natural causes,1926-09-04T00:00:00Z,2006-07-07T00:00:00Z,Lebanon,lawyer,Maronite Church
Elias Hrawi,male,natural causes,1926-09-04T00:00:00Z,2006-07-07T00:00:00Z,Lebanon,politician,Maronite Church
Ahmed I,male,natural causes,1590-04-18T00:00:00Z,1617-11-22T00:00:00Z,Ottoman Empire,ruler,Islam
Gore Vidal,male,natural causes,1925-10-03T00:00:00Z,2012-07-31T00:00:00Z,United States of America,literary critic,atheism
Gore Vidal,male,natural causes,1925-10-03T00:00:00Z,2012-07-31T00:00:00Z,United States of America,science fiction writer,atheism
Jean-Marie Lustiger,male,natural causes,1926-09-17T00:00:00Z,2007-08-05T00:00:00Z,France,writer,Judaism
Jean-Marie Lustiger,male,natural causes,1926-09-17T00:00:00Z,2007-08-05T00:00:00Z,France,theologian,Judaism
Turgut Özal,male,natural causes,1927-10-13T00:00:00Z,1993-04-17T00:00:00Z,Turkey,politician,Islam
Gore Vidal,male,natural causes,1925-10-03T00:00:00Z,2012-07-31T00:00:00Z,United States of America,non-fiction writer,atheism
H. P. Lovecraft,male,natural causes,1890-08-20T00:00:00Z,1937-03-15T00:00:00Z,United States of America,novelist,atheism
H. P. Lovecraft,male,natural causes,1890-08-20T00:00:00Z,1937-03-15T00:00:00Z,United States of America,poet,atheism
Turgut Özal,male,natural causes,1927-10-13T00:00:00Z,1993-04-17T00:00:00Z,Turkey,engineer,Islam
H. P. Lovecraft,male,natural causes,1890-08-20T00:00:00Z,1937-03-15T00:00:00Z,United States of America,journalist,atheism
Jean-Marie Lustiger,male,natural causes,1926-09-17T00:00:00Z,2007-08-05T00:00:00Z,France,writer,Catholic Church
Jean-Marie Lustiger,male,natural causes,1926-09-17T00:00:00Z,2007-08-05T00:00:00Z,France,theologian,Catholic Church
Turgut Özal,male,natural causes,1927-10-13T00:00:00Z,1993-04-17T00:00:00Z,Turkey,politician,Sunni Islam
Jean-Marie Lustiger,male,natural causes,1926-09-17T00:00:00Z,2007-08-05T00:00:00Z,France,Catholic priest,Judaism
Mary Catherine of St. Augustine,female,natural causes,1632-05-03T00:00:00Z,1668-05-08T00:00:00Z,France,nurse,Catholic Church
Turgut Özal,male,natural causes,1927-10-13T00:00:00Z,1993-04-17T00:00:00Z,Turkey,engineer,Sunni Islam
Jean-Marie Lustiger,male,natural causes,1926-09-17T00:00:00Z,2007-08-05T00:00:00Z,France,Catholic priest,Catholic Church
Luis Walter Alvarez,male,natural causes,1911-06-13T00:00:00Z,1988-09-01T00:00:00Z,United States of America,nuclear scientist,Apostasy in Catholicism
H. P. Lovecraft,male,natural causes,1890-08-20T00:00:00Z,1937-03-15T00:00:00Z,United States of America,science fiction writer,atheism
Georges Cuvier,male,natural causes,1769-08-23T00:00:00Z,1832-05-13T00:00:00Z,France,professor,Protestantism
Georges Cuvier,male,natural causes,1769-08-23T00:00:00Z,1832-05-13T00:00:00Z,France,politician,Protestantism
Georges Cuvier,male,natural causes,1769-08-23T00:00:00Z,1832-05-13T00:00:00Z,France,writer,Protestantism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,actor,Judaism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,film director,Judaism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,historian,Judaism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,playwright,Judaism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,writer,Judaism
Georges Cuvier,male,natural causes,1769-08-23T00:00:00Z,1832-05-13T00:00:00Z,France,zoologist,Protestantism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,novelist,Judaism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,poet,Judaism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,screenwriter,Judaism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,film producer,Judaism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,journalist,Judaism
Georges Cuvier,male,natural causes,1769-08-23T00:00:00Z,1832-05-13T00:00:00Z,France,academic,Protestantism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,film editor,Judaism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,essayist,Judaism
Georges Cuvier,male,natural causes,1769-08-23T00:00:00Z,1832-05-13T00:00:00Z,France,biologist,Protestantism
Néstor Kirchner,male,natural causes,1950-02-25T00:00:00Z,2010-10-27T00:00:00Z,Argentina,lawyer,Catholicism
Luis Walter Alvarez,male,natural causes,1911-06-13T00:00:00Z,1988-09-01T00:00:00Z,United States of America,physicist,Apostasy in Catholicism
Néstor Kirchner,male,natural causes,1950-02-25T00:00:00Z,2010-10-27T00:00:00Z,Argentina,politician,Catholicism
Luis Walter Alvarez,male,natural causes,1911-06-13T00:00:00Z,1988-09-01T00:00:00Z,United States of America,university teacher,Apostasy in Catholicism
Norman Mailer,male,natural causes,1923-01-31T00:00:00Z,2007-11-10T00:00:00Z,United States of America,biographer,Judaism
Georges Cuvier,male,natural causes,1769-08-23T00:00:00Z,1832-05-13T00:00:00Z,France,ichthyologist,Protestantism
Maria Amalia of Saxony,female,natural causes,1724-11-24T00:00:00Z,1760-09-27T00:00:00Z,Spain,queen consort,Catholic Church
Jiddu Krishnamurti,male,natural causes,1895-05-12T00:00:00Z,1986-02-17T00:00:00Z,British Raj,philosopher,Hinduism
Jiddu Krishnamurti,male,natural causes,1895-05-12T00:00:00Z,1986-02-17T00:00:00Z,British Raj,writer,Hinduism
Néstor Kirchner,male,natural causes,1950-02-25T00:00:00Z,2010-10-27T00:00:00Z,Argentina,lawyer,atheist
Mikhail Botvinnik,male,natural causes,1911-08-17T00:00:00Z,1995-05-05T00:00:00Z,Soviet Union,writer,atheism
Néstor Kirchner,male,natural causes,1950-02-25T00:00:00Z,2010-10-27T00:00:00Z,Argentina,politician,atheist
Mikhail Botvinnik,male,natural causes,1911-08-17T00:00:00Z,1995-05-05T00:00:00Z,Soviet Union,chess player,atheism
Elena of Montenegro,female,natural causes,1873-01-08T00:00:00Z,1952-11-28T00:00:00Z,Montenegro,nurse,Serbian Orthodox Church
Mikhail Botvinnik,male,natural causes,1911-08-17T00:00:00Z,1995-05-05T00:00:00Z,Soviet Union,engineer,atheism
Thérèse of Lisieux,female,natural causes,1873-01-02T00:00:00Z,1897-09-30T00:00:00Z,France,nun,Catholic Church
Stephen Jay Gould,male,natural causes,1941-09-10T00:00:00Z,2002-05-20T00:00:00Z,United States of America,historian,agnosticism
Stephen Jay Gould,male,natural causes,1941-09-10T00:00:00Z,2002-05-20T00:00:00Z,United States of America,philosopher,agnosticism
Stephen Jay Gould,male,natural causes,1941-09-10T00:00:00Z,2002-05-20T00:00:00Z,United States of America,writer,agnosticism
Elena of Montenegro,female,natural causes,1873-01-08T00:00:00Z,1952-11-28T00:00:00Z,Montenegro,nurse,Catholic Church
Stephen Jay Gould,male,natural causes,1941-09-10T00:00:00Z,2002-05-20T00:00:00Z,United States of America,university teacher,agnosticism
Mikhail Botvinnik,male,natural causes,1911-08-17T00:00:00Z,1989-11-25T00:00:00Z,Soviet Union,writer,atheism
Mikhail Botvinnik,male,natural causes,1911-08-17T00:00:00Z,1989-11-25T00:00:00Z,Soviet Union,chess player,atheism
Mikhail Botvinnik,male,natural causes,1911-08-17T00:00:00Z,1989-11-25T00:00:00Z,Soviet Union,engineer,atheism
Stephen Jay Gould,male,natural causes,1941-09-10T00:00:00Z,2002-05-20T00:00:00Z,United States of America,evolutionary biologist,agnosticism
Margaret Mead,female,natural causes,1901-12-16T00:00:00Z,1978-11-15T00:00:00Z,United States of America,anthropologist,Anglicanism
Jiddu Krishnamurti,male,natural causes,1895-05-12T00:00:00Z,1986-02-17T00:00:00Z,India,philosopher,Hinduism
Jiddu Krishnamurti,male,natural causes,1895-05-12T00:00:00Z,1986-02-17T00:00:00Z,India,writer,Hinduism
John C. Frémont,male,natural causes,1813-01-21T00:00:00Z,1890-07-13T00:00:00Z,United States of America,botanist,Episcopal Church
John C. Frémont,male,natural causes,1813-01-21T00:00:00Z,1890-07-13T00:00:00Z,United States of America,politician,Episcopal Church
John C. Frémont,male,natural causes,1813-01-21T00:00:00Z,1890-07-13T00:00:00Z,United States of America,military officer,Episcopal Church
Alfred Dreyfus,male,natural causes,1859-10-09T00:00:00Z,1935-07-12T00:00:00Z,France,military personnel,Judaism
John C. Frémont,male,natural causes,1813-01-21T00:00:00Z,1890-07-13T00:00:00Z,United States of America,explorer,Episcopal Church
Gore Vidal,male,natural causes,1925-10-03T00:00:00Z,2012-07-31T00:00:00Z,United States of America,playwright,atheism
Gore Vidal,male,natural causes,1925-10-03T00:00:00Z,2012-07-31T00:00:00Z,United States of America,novelist,atheism
Johan Rudolph Thorbecke,male,natural causes,1798-01-14T00:00:00Z,1872-06-04T00:00:00Z,Netherlands,professor,Lutheranism
Johan Rudolph Thorbecke,male,natural causes,1798-01-14T00:00:00Z,1872-06-04T00:00:00Z,Netherlands,historian,Lutheranism
Johan Rudolph Thorbecke,male,natural causes,1798-01-14T00:00:00Z,1872-06-04T00:00:00Z,Netherlands,politician,Lutheranism
Gore Vidal,male,natural causes,1925-10-03T00:00:00Z,2012-07-31T00:00:00Z,United States of America,essayist,atheism
Rafael López Gutiérrez,male,natural causes,1855-02-28T00:00:00Z,1924-03-10T00:00:00Z,Honduras,politician,Catholicism
Jiddu Krishnamurti,male,natural causes,1895-05-12T00:00:00Z,1986-02-17T00:00:00Z,statelessness,philosopher,Hinduism
Jiddu Krishnamurti,male,natural causes,1895-05-12T00:00:00Z,1986-02-17T00:00:00Z,statelessness,writer,Hinduism
Johan Rudolph Thorbecke,male,natural causes,1798-01-14T00:00:00Z,1872-06-04T00:00:00Z,Netherlands,jurist,Lutheranism
Diego Rivera,male,natural causes,1886-12-08T00:00:00Z,1957-11-24T00:00:00Z,Mexico,painter,atheism
Charlotte Brontë,female,natural causes,1816-04-21T00:00:00Z,1855-03-31T00:00:00Z,United Kingdom of Great Britain and Ireland,novelist,Anglicanism
Charlotte Brontë,female,natural causes,1816-04-21T00:00:00Z,1855-03-31T00:00:00Z,United Kingdom of Great Britain and Ireland,poet,Anglicanism
Nargis,female,natural causes,1929-06-01T00:00:00Z,1981-05-03T00:00:00Z,British Raj,film actor,Islam
Ava Gardner,female,natural causes,1922-12-24T00:00:00Z,1990-01-25T00:00:00Z,United States of America,actor,atheism
Ava Gardner,female,natural causes,1922-12-24T00:00:00Z,1990-01-25T00:00:00Z,United States of America,television actor,atheism
Leopoldo Galtieri,male,natural causes,1926-07-15T00:00:00Z,2003-01-12T00:00:00Z,Argentina,politician,Catholic Church
David Ricardo,male,natural causes,1772-04-18T00:00:00Z,1823-09-11T00:00:00Z,Kingdom of Great Britain,politician,Anglicanism
David Ricardo,male,natural causes,1772-04-18T00:00:00Z,1823-09-11T00:00:00Z,Kingdom of Great Britain,economist,Anglicanism
Ava Gardner,female,natural causes,1922-12-24T00:00:00Z,1990-01-25T00:00:00Z,United States of America,model,atheism
Muhammad Ali Jinnah,male,natural causes,1876-12-25T00:00:00Z,1948-09-11T00:00:00Z,Pakistan,politician,Islam
Ava Gardner,female,natural causes,1922-12-24T00:00:00Z,1990-01-25T00:00:00Z,United States of America,film actor,atheism
Leopoldo Galtieri,male,natural causes,1926-07-15T00:00:00Z,2003-01-12T00:00:00Z,Argentina,military officer,Catholic Church
Richard Francis Burton,male,natural causes,1821-03-19T00:00:00Z,1890-10-20T00:00:00Z,United Kingdom of Great Britain and Ireland,historian,atheism
Prince Claus of the Netherlands,male,natural causes,1926-09-06T00:00:00Z,2002-10-06T00:00:00Z,Kingdom of the Netherlands,diplomat,Dutch Reformed Church
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,Belgium,pedagogue,atheism
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,Brazil,pedagogue,atheism
Robert Jordan,male,natural causes,1948-10-17T00:00:00Z,2007-09-16T00:00:00Z,United States of America,military officer,Anglicanism
Ava Gardner,female,natural causes,1922-12-24T00:00:00Z,1990-01-25T00:00:00Z,United States of America,autobiographer,atheism
Richard Francis Burton,male,natural causes,1821-03-19T00:00:00Z,1890-10-20T00:00:00Z,United Kingdom of Great Britain and Ireland,zoologist,atheism
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,France,pedagogue,atheism
Gnassingbé Eyadéma,male,natural causes,1935-12-26T00:00:00Z,2005-02-05T00:00:00Z,France,politician,Catholic Church
Stefan Wyszyński,male,natural causes,1901-08-03T00:00:00Z,1981-05-28T00:00:00Z,Poland,Catholic priest,Catholic Church
Richard Francis Burton,male,natural causes,1821-03-19T00:00:00Z,1890-10-20T00:00:00Z,United Kingdom of Great Britain and Ireland,diplomat,atheism
Richard Francis Burton,male,natural causes,1821-03-19T00:00:00Z,1890-10-20T00:00:00Z,United Kingdom of Great Britain and Ireland,translator,atheism
David Ricardo,male,natural causes,1772-04-18T00:00:00Z,1823-09-11T00:00:00Z,United Kingdom of Great Britain and Ireland,politician,Anglicanism
David Ricardo,male,natural causes,1772-04-18T00:00:00Z,1823-09-11T00:00:00Z,United Kingdom of Great Britain and Ireland,economist,Anglicanism
Juliana of the Netherlands,female,natural causes,1909-04-30T00:00:00Z,2004-03-20T00:00:00Z,Kingdom of the Netherlands,politician,Dutch Reformed Church
Juliana of the Netherlands,female,natural causes,1909-04-30T00:00:00Z,2004-03-20T00:00:00Z,Kingdom of the Netherlands,judge,Dutch Reformed Church
Nargis,female,natural causes,1929-06-01T00:00:00Z,1981-05-03T00:00:00Z,India,actor,Islam
Nargis,female,natural causes,1929-06-01T00:00:00Z,1981-05-03T00:00:00Z,India,politician,Islam
Nargis,female,natural causes,1929-06-01T00:00:00Z,1981-05-03T00:00:00Z,India,screenwriter,Islam
Gamal al-Banna,male,natural causes,1920-12-15T00:00:00Z,2013-01-30T00:00:00Z,Egypt,politician,Islam
Gamal al-Banna,male,natural causes,1920-12-15T00:00:00Z,2013-01-30T00:00:00Z,Egypt,theologian,Islam
Nargis,female,natural causes,1929-06-01T00:00:00Z,1981-05-03T00:00:00Z,India,film actor,Islam
Boris III of Bulgaria,male,natural causes,1894-01-30T00:00:00Z,1943-08-28T00:00:00Z,Bulgaria,military officer,Catholicism
Boris III of Bulgaria,male,natural causes,1894-01-30T00:00:00Z,1943-08-28T00:00:00Z,Kingdom of Bulgaria,military officer,Catholicism
Sergei Witte,male,natural causes,1849-06-29T00:00:00Z,1915-03-13T00:00:00Z,Russian Empire,politician,Russian Orthodox Church
Anna of Russia,female,natural causes,1693-02-07T00:00:00Z,1740-10-28T00:00:00Z,Russian Empire,politician,Eastern Orthodox Church
Norodom Sihanouk,male,natural causes,1922-10-31T00:00:00Z,2012-10-14T00:00:00Z,Cambodia,politician,Theravada
Boris III of Bulgaria,male,natural causes,1894-01-30T00:00:00Z,1943-08-28T00:00:00Z,Bulgaria,military officer,Eastern Orthodox Church
Boris III of Bulgaria,male,natural causes,1894-01-30T00:00:00Z,1943-08-28T00:00:00Z,Kingdom of Bulgaria,military officer,Eastern Orthodox Church
Peter Claver,male,natural causes,1581-07-06T00:00:00Z,1654-09-08T00:00:00Z,Spain,missionary,Catholic Church
Anna of Russia,female,natural causes,1693-02-07T00:00:00Z,1740-10-28T00:00:00Z,Tsardom of Russia,politician,Eastern Orthodox Church
William Shockley,male,natural causes,1910-02-13T00:00:00Z,1989-08-12T00:00:00Z,United States of America,physicist,atheism
Alexander Pope,male,natural causes,1688-05-21T00:00:00Z,1744-05-30T00:00:00Z,Kingdom of Great Britain,translator,Catholic Church
Prince Claus of the Netherlands,male,natural causes,1926-09-06T00:00:00Z,2002-10-06T00:00:00Z,Germany,diplomat,Dutch Reformed Church
Princess Victoria Melita of Saxe-Coburg and Gotha,female,natural causes,1876-11-25T00:00:00Z,1936-03-02T00:00:00Z,Russian Empire,queen regnant,Orthodox Christianity
Alexandra of Yugoslavia,female,natural causes,1921-03-25T00:00:00Z,1993-01-30T00:00:00Z,Kingdom of Yugoslavia,politician,Eastern Orthodox Church
Maria Alexandrovna,female,natural causes,1824-08-08T00:00:00Z,1880-06-03T00:00:00Z,Russian Empire,queen consort,Eastern Orthodox Church
William Shockley,male,natural causes,1910-02-13T00:00:00Z,1989-08-12T00:00:00Z,United States of America,inventor,atheism
Alexander Pope,male,natural causes,1688-05-21T00:00:00Z,1744-05-30T00:00:00Z,Kingdom of England,translator,Catholic Church
Edward Gibbon,male,natural causes,1737-05-08T00:00:00Z,1794-01-16T00:00:00Z,Kingdom of Great Britain,historian,Catholicism
Catherine of Aragon,female,natural causes,1485-12-16T00:00:00Z,1536-01-07T00:00:00Z,United Kingdom,sovereign,Catholic Church
Edward Gibbon,male,natural causes,1737-05-08T00:00:00Z,1794-01-16T00:00:00Z,Kingdom of Great Britain,politician,Catholicism
Catherine of Aragon,female,natural causes,1485-12-16T00:00:00Z,1536-01-07T00:00:00Z,United Kingdom,diplomat,Catholic Church
William James,male,natural causes,1842-01-11T00:00:00Z,1910-08-26T00:00:00Z,United States of America,psychologist,Lutheranism
Mohammed Rafi,male,natural causes,1924-12-24T00:00:00Z,1980-07-31T00:00:00Z,British Raj,singer,Sunni Islam
Mohammed Rafi,male,natural causes,1924-12-24T00:00:00Z,1980-07-31T00:00:00Z,British Raj,musician,Sunni Islam
Niels Henrik Abel,male,natural causes,1802-08-05T00:00:00Z,1829-04-06T00:00:00Z,Norway,mathematician,Lutheranism
Carlota of Mexico,female,natural causes,1840-06-07T00:00:00Z,1927-01-19T00:00:00Z,Belgium,politician,Catholic Church
Konstantin Chernenko,male,natural causes,1911-09-24T00:00:00Z,1985-03-10T00:00:00Z,Soviet Union,politician,atheism
Prince Sadruddin Aga Khan,male,natural causes,1933-01-17T00:00:00Z,2003-05-12T00:00:00Z,France,diplomat,Islam
Frank Zappa,male,natural causes,1940-12-21T00:00:00Z,1993-12-04T00:00:00Z,United States of America,singer,atheism
Frank Zappa,male,natural causes,1940-12-21T00:00:00Z,1993-12-04T00:00:00Z,United States of America,musician,atheism
Catherine of Aragon,female,natural causes,1485-12-16T00:00:00Z,1536-01-07T00:00:00Z,Spain,sovereign,Catholic Church
Frank Zappa,male,natural causes,1940-12-21T00:00:00Z,1993-12-04T00:00:00Z,United States of America,guitarist,atheism
Catherine of Aragon,female,natural causes,1485-12-16T00:00:00Z,1536-01-07T00:00:00Z,Spain,diplomat,Catholic Church
Muhammad Ali Jinnah,male,natural causes,1876-12-25T00:00:00Z,1948-09-11T00:00:00Z,British Raj,politician,Islam
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,Belgium,professor,atheism
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,Brazil,professor,atheism
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,Belgium,politician,atheism
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,Belgium,psychologist,atheism
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,Brazil,politician,atheism
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,Brazil,psychologist,atheism
Matthäus Schiner,male,natural causes,1465-01-01T00:00:00Z,1522-10-10T00:00:00Z,Switzerland,politician,Catholic Church
Frank Zappa,male,natural causes,1940-12-21T00:00:00Z,1993-12-04T00:00:00Z,United States of America,record producer,atheism
Mohammed Rafi,male,natural causes,1924-12-24T00:00:00Z,1980-07-31T00:00:00Z,India,singer,Sunni Islam
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,France,professor,atheism
Mohammed Rafi,male,natural causes,1924-12-24T00:00:00Z,1980-07-31T00:00:00Z,India,musician,Sunni Islam
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,France,politician,atheism
Claude Lévi-Strauss,male,natural causes,1908-11-28T00:00:00Z,2009-10-30T00:00:00Z,France,psychologist,atheism
Frank Zappa,male,natural causes,1940-12-21T00:00:00Z,1993-12-04T00:00:00Z,United States of America,songwriter,atheism
Matthäus Schiner,male,natural causes,1465-01-01T00:00:00Z,1522-10-10T00:00:00Z,Switzerland,diplomat,Catholic Church
Mobutu Sese Seko,male,natural causes,1930-10-14T00:00:00Z,1997-09-07T00:00:00Z,Democratic Republic of the Congo,politician,Catholic Church
Matthäus Schiner,male,natural causes,1465-01-01T00:00:00Z,1522-10-10T00:00:00Z,Switzerland,Catholic priest,Catholic Church
József Mindszenty,male,natural causes,1892-03-29T00:00:00Z,1975-05-06T00:00:00Z,Hungary,Catholic priest,Catholic Church
Norodom Sihanouk,male,natural causes,1922-10-31T00:00:00Z,2012-10-15T00:00:00Z,Cambodia,politician,Theravada
Peter II of Russia,male,natural causes,1715-10-23T00:00:00Z,1730-01-30T00:00:00Z,Russian Empire,politician,Orthodox Christianity
Reverend Gary Davis,male,natural causes,1896-04-30T00:00:00Z,1972-05-05T00:00:00Z,United States of America,musician,Baptist
Pierre Mauroy,male,natural causes,1928-07-05T00:00:00Z,2013-06-07T00:00:00Z,France,politician,Catholicism
Georgios Papadopoulos,male,natural causes,1919-05-05T00:00:00Z,1999-06-27T00:00:00Z,Greece,politician,Greek Orthodox Church
Reverend Gary Davis,male,natural causes,1896-04-30T00:00:00Z,1972-05-05T00:00:00Z,United States of America,guitarist,Baptist
Nargis,female,natural causes,1929-06-01T00:00:00Z,1981-05-03T00:00:00Z,British Raj,actor,Islam
Nargis,female,natural causes,1929-06-01T00:00:00Z,1981-05-03T00:00:00Z,British Raj,politician,Islam
